samples,class,middle_facial_height,lower_facial_height,philtrum,intercanthal_width,biocular_width,nasal_width,mouth_width
82.0,0.0,68.97812389193784,65.21846769678146,15.304795346942761,44.058584159109074,107.67212556066738,28.756476392973404,55.21821324353949
83.0,0.0,83.00753560600539,82.66782402700838,22.41308239980614,41.28945056663505,98.69503874255092,31.088578417002275,49.385216965194154
84.0,0.0,56.3237636146629,52.124636640739524,11.121102614440746,34.426208754530315,80.68793234987433,20.905096621754705,37.665734002757944
85.0,0.0,58.659774920904965,53.46419277624326,14.69155668509382,39.37668053346453,98.09977079939993,26.686430778963775,45.686365426275714
86.0,0.0,53.363789369114805,64.13960977608534,10.701475163079165,35.930754597119666,87.80987351932868,26.534133574835277,50.32890182841763
88.0,0.0,64.59435905892731,51.89639698591509,10.12671364408513,41.33625665101227,92.82998644811559,32.160989646926296,60.361799933683216
89.0,0.0,73.7111229490435,56.37737012941716,16.797068226152906,47.4810959986319,118.42113269669271,35.092071492679075,58.38543011749165
90.0,0.0,80.18432106009004,62.56678027557436,13.80098942283849,60.660048405268554,136.55778492441098,48.77286057770242,82.05870525811156
91.0,0.0,86.42519536772252,63.32701751172402,12.646847621428225,55.68445904690622,130.52274177754208,46.801333357554206,80.51159281154867
92.0,0.0,69.29049551338909,68.28786799382524,17.72197410099184,53.66343252042773,118.81505760273726,34.88194983484548,58.690140996226965
95.0,0.0,70.00137594788892,58.115925371895266,12.540865071792297,46.556771981678445,114.8927975317522,33.666191964999534,73.98024361200225
96.0,0.0,70.23741219143916,74.36419657109863,13.862064511179423,50.793931871202886,124.27664698323304,39.24793746832818,89.5944499390325
97.0,0.0,73.99511084122163,64.86722225805553,14.823070968872862,56.634448256766184,129.81095927453512,43.06863948613023,79.99247868899931
98.0,0.0,74.62883660811762,79.73299984606122,14.119329527233228,48.754214483124436,125.38321984143647,36.36150813932777,69.51095928429648
99.0,0.0,54.12368952289399,46.633027607465095,10.770195969363815,33.50323141525025,84.6023847857443,24.243201552249676,42.257478737351335
100.0,0.0,69.78631657746868,61.3926132621735,13.409177386868288,53.17605247818924,127.72280117176504,33.13389075579564,63.3156399599696
101.0,0.0,75.63227945580505,64.23363314750927,14.806853907059406,49.9729924465368,127.87250659141728,40.012523873264044,84.64643792975578
102.0,0.0,68.82124286798027,63.986416744822485,16.824550037980213,30.881319451151214,80.45918343237769,25.625433272460004,52.956753196390366
104.0,0.0,62.08604884168124,59.43593922771725,15.770573293340497,46.08374414714429,113.23254712837738,31.232611623080707,58.058053723522946
105.0,0.0,62.13698665739174,80.07678518123349,16.68644368150686,56.0886577356759,130.15554650908524,40.69414490640546,93.91001637019943
